2026-07-30 23:26:41 [chain-local] chain watchdog armed: cells=[meepleoff oppanticoff anticoff selfanticoff meepleflat capoff] n=400 out_root=/mnt/c/carc-shared/leaf_ablation pattern='seed-start 96000000000'
2026-07-30 23:26:41 [chain-local] watching cell meepleoff (0/400)
2026-07-30 23:26:41 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_meepleoff/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
2026-07-30 23:32:47 [chain-local] chain watchdog armed: cells=[meepleoff oppanticoff anticoff selfanticoff meepleflat capoff] n=400 out_root=/mnt/c/carc-shared/leaf_ablation pattern='seed-start 96000000000'
2026-07-30 23:32:47 [chain-local] watching cell meepleoff (0/400)
2026-07-31 14:35:02 healthy: 158/400 records, workers alive
2026-07-31 14:40:03 healthy: 165/400 records, workers alive
2026-07-31 14:45:04 healthy: 171/400 records, workers alive
2026-07-31 14:50:05 healthy: 180/400 records, workers alive
2026-07-31 14:55:06 healthy: 183/400 records, workers alive
2026-07-31 15:00:07 healthy: 195/400 records, workers alive
2026-07-31 15:05:08 healthy: 199/400 records, workers alive
2026-07-31 15:10:09 healthy: 211/400 records, workers alive
2026-07-31 15:15:10 healthy: 214/400 records, workers alive
2026-07-31 15:20:11 healthy: 227/400 records, workers alive
2026-07-31 15:25:13 healthy: 234/400 records, workers alive
2026-07-31 15:30:14 healthy: 255/400 records, workers alive
2026-07-31 15:35:15 healthy: 268/400 records, workers alive
2026-07-31 15:40:17 healthy: 280/400 records, workers alive
2026-07-31 15:45:18 healthy: 288/400 records, workers alive
2026-07-31 15:50:19 healthy: 294/400 records, workers alive
2026-07-31 15:55:21 healthy: 302/400 records, workers alive
2026-07-31 16:00:22 healthy: 310/400 records, workers alive
2026-07-31 16:05:24 healthy: 316/400 records, workers alive
2026-07-31 16:10:25 healthy: 324/400 records, workers alive
2026-07-31 16:15:27 healthy: 331/400 records, workers alive
2026-07-31 16:20:28 healthy: 341/400 records, workers alive
2026-07-31 16:25:29 healthy: 347/400 records, workers alive
2026-07-31 16:30:31 healthy: 356/400 records, workers alive
2026-07-31 16:35:33 healthy: 364/400 records, workers alive
2026-07-31 16:40:34 healthy: 373/400 records, workers alive
2026-07-31 16:45:36 healthy: 384/400 records, workers alive
2026-07-31 16:50:38 healthy: 384/400 records, workers alive
2026-07-31 16:55:40 healthy: 384/400 records, workers alive
2026-07-31 17:00:42 healthy: 384/400 records, workers alive
2026-07-31 17:05:44 healthy: 384/400 records, workers alive
2026-07-31 17:10:46 healthy: 384/400 records, workers alive
2026-07-31 17:15:49 healthy: 384/400 records, workers alive
2026-07-31 17:20:51 healthy: 384/400 records, workers alive
2026-07-31 17:25:53 healthy: 384/400 records, workers alive
2026-07-31 17:30:56 healthy: 384/400 records, workers alive
2026-07-31 17:35:56 healthy: 384/400 records, workers alive
2026-07-31 17:40:59 healthy: 384/400 records, workers alive
2026-07-31 17:46:01 healthy: 384/400 records, workers alive
2026-07-31 17:51:03 healthy: 384/400 records, workers alive
2026-07-31 17:56:05 healthy: 384/400 records, workers alive
2026-07-31 18:01:08 healthy: 384/400 records, workers alive
2026-07-31 18:06:10 healthy: 384/400 records, workers alive
2026-07-31 18:11:12 healthy: 384/400 records, workers alive
2026-07-31 18:16:14 healthy: 384/400 records, workers alive
2026-07-31 18:21:16 healthy: 384/400 records, workers alive
2026-07-31 18:26:16 healthy: 384/400 records, workers alive
2026-07-31 18:31:17 healthy: 384/400 records, workers alive
2026-07-31 18:36:19 healthy: 384/400 records, workers alive
2026-07-31 18:41:20 healthy: 384/400 records, workers alive
2026-07-31 18:46:22 healthy: 384/400 records, workers alive
2026-07-31 18:51:23 healthy: 384/400 records, workers alive
2026-07-31 18:56:25 healthy: 384/400 records, workers alive
2026-07-31 19:01:27 healthy: 384/400 records, workers alive
2026-07-31 19:06:29 healthy: 384/400 records, workers alive
2026-07-31 19:11:31 healthy: 384/400 records, workers alive
2026-07-31 19:16:33 healthy: 384/400 records, workers alive
2026-07-31 19:21:33 healthy: 384/400 records, workers alive
2026-07-31 19:26:33 healthy: 384/400 records, workers alive
2026-07-31 19:31:34 healthy: 384/400 records, workers alive
