idx,regime,mover_spec,opp_spec,opp_class,phase,k_remaining,legal_n,final_margin_mover,result_mover,motifs,block_opp,block_mag,block_actual_took,avoid_feeding_opp,avoid_feeding_mag,avoid_feeding_actual_took,contest_merge_opp,contest_merge_mag,contest_merge_actual_took,farm_claim_opp,farm_claim_mag,farm_claim_actual_took
564,greedy:greedy,greedy,greedy,mid,opening,71,5,-49,L,farm_claim,0,,,0,,,0,,,1,6.0,0
565,greedy:greedy,greedy,greedy,mid,opening,65,4,-49,L,farm_claim,0,,,0,,,0,,,1,6.0,0
562,greedy:greedy,greedy,greedy,mid,endgame,3,43,0,D,avoid_feeding,0,,,1,5.4,0,0,,,0,,
566,greedy:greedy,greedy,greedy,mid,opening,62,21,49,W,avoid_feeding,0,,,1,2.6,0,0,,,0,,
561,greedy:greedy,greedy,greedy,mid,pre_endgame,11,3,0,D,farm_claim,0,,,0,,,0,,,1,27.0,1
567,greedy:greedy,greedy,greedy,mid,opening,60,7,49,W,farm_claim,0,,,0,,,0,,,1,6.0,0
568,greedy:greedy,greedy,greedy,mid,opening,59,3,-49,L,farm_claim,0,,,0,,,0,,,1,12.0,0
569,greedy:greedy,greedy,greedy,mid,opening,58,4,49,W,farm_claim,0,,,0,,,0,,,1,6.0,0
570,greedy:greedy,greedy,greedy,mid,opening,56,3,49,W,farm_claim,0,,,0,,,0,,,1,6.0,0
575,greedy:greedy,greedy,greedy,mid,midgame,46,5,49,W,farm_claim,0,,,0,,,0,,,1,9.0,0
571,greedy:greedy,greedy,greedy,mid,opening,52,3,49,W,farm_claim,0,,,0,,,0,,,1,6.0,0
572,greedy:greedy,greedy,greedy,mid,opening,51,21,-49,L,avoid_feeding,0,,,1,2.2,1,0,,,0,,
573,greedy:greedy,greedy,greedy,mid,opening,51,5,-49,L,farm_claim,0,,,0,,,0,,,1,9.0,0
574,greedy:greedy,greedy,greedy,mid,opening,50,4,49,W,farm_claim,0,,,0,,,0,,,1,9.0,0
576,greedy:greedy,greedy,greedy,mid,midgame,39,28,-49,L,avoid_feeding,0,,,1,2.6,1,0,,,0,,
563,greedy:greedy,greedy,greedy,mid,endgame,1,43,0,D,avoid_feeding,0,,,1,5.4,0,0,,,0,,
577,greedy:greedy,greedy,greedy,mid,midgame,31,25,-49,L,avoid_feeding,0,,,1,3.5,1,0,,,0,,
579,greedy:greedy,greedy,greedy,mid,late_mid,28,31,49,W,avoid_feeding,0,,,1,2.5,0,0,,,0,,
578,greedy:greedy,greedy,greedy,mid,midgame,30,4,49,W,farm_claim,0,,,0,,,0,,,1,12.0,1
581,greedy:greedy,greedy,greedy,mid,late_mid,25,26,-49,L,avoid_feeding,0,,,1,3.5,1,0,,,0,,
580,greedy:greedy,greedy,greedy,mid,late_mid,26,5,49,W,farm_claim,0,,,0,,,0,,,1,6.0,0
582,greedy:greedy,greedy,greedy,mid,late_mid,21,24,-49,L,avoid_feeding,0,,,1,3.5,1,0,,,0,,
586,rod1:rod1,rod1,rod1,strong,opening,65,13,18,W,contest_merge,0,,,0,,,1,9.0,1,0,,
585,rod1:rod1,rod1,rod1,strong,opening,66,6,-18,L,contest_merge,0,,,0,,,1,6.0,0,0,,
587,rod1:rod1,rod1,rod1,strong,opening,60,14,-18,L,contest_merge,0,,,0,,,1,15.0,1,0,,
588,rod1:rod1,rod1,rod1,strong,opening,58,18,-18,L,contest_merge,0,,,0,,,1,15.0,1,0,,
583,greedy:greedy,greedy,greedy,mid,late_mid,18,3,49,W,farm_claim,0,,,0,,,0,,,1,6.0,0
584,greedy:greedy,greedy,greedy,mid,pre_endgame,9,34,-49,L,avoid_feeding,0,,,1,3.5,1,0,,,0,,
589,rod1:rod1,rod1,rod1,strong,opening,56,3,-18,L,farm_claim,0,,,0,,,0,,,1,6.0,0
590,rod1:rod1,rod1,rod1,strong,opening,52,28,-18,L,contest_merge,0,,,0,,,1,18.0,1,0,,
591,rod1:rod1,rod1,rod1,strong,opening,51,3,18,W,farm_claim,0,,,0,,,0,,,1,6.0,1
592,rod1:rod1,rod1,rod1,strong,midgame,38,3,-18,L,farm_claim,0,,,0,,,0,,,1,6.0,1
593,rod1:rod1,rod1,rod1,strong,late_mid,27,23,18,W,avoid_feeding,0,,,1,3.4,1,0,,,0,,
595,rod1:rod1,rod1,rod1,strong,late_mid,19,23,18,W,block|avoid_feeding,1,7.0,0,1,7.0,0,0,,,0,,
594,rod1:rod1,rod1,rod1,strong,late_mid,23,3,18,W,farm_claim,0,,,0,,,0,,,1,6.0,0
600,greedy:random,random,greedy,mid,opening,71,4,-55,L,farm_claim,0,,,0,,,0,,,1,6.0,0
601,greedy:random,greedy,random,weak,opening,70,3,55,W,farm_claim,0,,,0,,,0,,,1,6.0,0
596,rod1:rod1,rod1,rod1,strong,late_mid,17,37,18,W,block|avoid_feeding,1,5.5,1,1,5.5,1,0,,,0,,
602,greedy:random,random,greedy,mid,opening,69,3,-55,L,farm_claim,0,,,0,,,0,,,1,6.0,0
603,greedy:random,greedy,random,weak,opening,68,7,55,W,farm_claim,0,,,0,,,0,,,1,9.0,0
598,rod1:rod1,rod1,rod1,strong,pre_endgame,11,3,18,W,farm_claim,0,,,0,,,0,,,1,6.0,1
599,rod1:rod1,rod1,rod1,strong,pre_endgame,7,21,18,W,block|avoid_feeding,1,5.5,1,1,5.5,1,0,,,0,,
604,greedy:random,random,greedy,mid,opening,67,6,-55,L,farm_claim,0,,,0,,,0,,,1,12.0,0
597,rod1:rod1,rod1,rod1,strong,late_mid,15,21,18,W,block|avoid_feeding,1,6.5,1,1,6.5,1,0,,,0,,
605,greedy:random,greedy,random,weak,opening,66,4,55,W,farm_claim,0,,,0,,,0,,,1,15.0,0
606,greedy:random,random,greedy,mid,opening,65,5,-55,L,farm_claim,0,,,0,,,0,,,1,15.0,0
607,greedy:random,random,greedy,mid,opening,61,4,-55,L,farm_claim,0,,,0,,,0,,,1,9.0,1
608,greedy:random,greedy,random,weak,opening,58,4,55,W,farm_claim,0,,,0,,,0,,,1,6.0,0
609,greedy:random,greedy,random,weak,opening,56,5,55,W,farm_claim,0,,,0,,,0,,,1,6.0,0
610,greedy:random,random,greedy,mid,opening,53,19,-55,L,avoid_feeding,0,,,1,2.6,1,0,,,0,,
613,greedy:random,random,greedy,mid,midgame,45,20,-55,L,avoid_feeding,0,,,1,5.5,0,0,,,0,,
612,greedy:random,random,greedy,mid,opening,47,33,-55,L,avoid_feeding,0,,,1,2.9,1,0,,,0,,
611,greedy:random,random,greedy,mid,opening,51,23,-55,L,avoid_feeding,0,,,1,2.6,1,0,,,0,,
614,greedy:random,random,greedy,mid,midgame,43,33,-55,L,block|avoid_feeding,1,7.3,0,1,7.3,0,0,,,0,,
616,greedy:random,random,greedy,mid,midgame,39,41,-55,L,avoid_feeding,0,,,1,3.2,1,0,,,0,,
617,greedy:random,random,greedy,mid,midgame,35,44,-55,L,avoid_feeding,0,,,1,3.2,1,0,,,0,,
618,greedy:random,greedy,random,weak,late_mid,18,39,55,W,avoid_feeding,0,,,1,2.0,1,0,,,0,,
615,greedy:random,random,greedy,mid,midgame,41,27,-55,L,block|avoid_feeding,1,6.5,0,1,6.5,0,0,,,0,,
619,greedy:random,random,greedy,mid,late_mid,15,60,-55,L,contest_merge,0,,,0,,,1,6.0,0,0,,
621,greedy:greedy,greedy,greedy,mid,opening,71,4,-32,L,farm_claim,0,,,0,,,0,,,1,6.0,0
622,greedy:greedy,greedy,greedy,mid,opening,68,7,32,W,farm_claim,0,,,0,,,0,,,1,6.0,0
623,greedy:greedy,greedy,greedy,mid,opening,66,3,32,W,farm_claim,0,,,0,,,0,,,1,6.0,0
620,greedy:random,greedy,random,weak,endgame,2,54,55,W,avoid_feeding,0,,,1,2.0,1,0,,,0,,
625,greedy:greedy,greedy,greedy,mid,opening,62,5,32,W,farm_claim,0,,,0,,,0,,,1,6.0,0
