idx,motif,regime,seed,g,ply,seat,mover_spec,opp_spec,tile_phase,k,margin_before,legal_n,magnitude,actual_took,final_margin_mover,result_mover,take_random,take_greedy,take_h200,take_h800,take_h3200,take_h6400,take_rod1
229,MUST_NOT_FEED,greedy:random,1981001,1,44,0,random,greedy,TILES,50,-4,25,8,1,-79,L,1,1,1,1,1,1,1
231,MUST_PUNISH_WEAK,greedy:random,1981001,1,95,1,greedy,random,MEEPLES,25,17,5,15,0,79,W,0,0,1,1,1,1,1
231,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981001,1,95,1,greedy,random,MEEPLES,25,17,5,15,0,79,W,0,0,1,1,1,1,1
233,MUST_PUNISH_WEAK,greedy:random,1981002,2,17,0,greedy,random,MEEPLES,64,3,4,9,0,79,W,0,0,1,1,1,1,1
233,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981002,2,17,0,greedy,random,MEEPLES,64,3,4,9,0,79,W,0,0,1,1,1,1,1
234,MUST_PUNISH_WEAK,greedy:random,1981003,3,14,1,greedy,random,TILES,65,0,12,12,1,66,W,0,1,0,1,1,1,0
230,MUST_NOT_FEED,greedy:random,1981001,1,92,0,random,greedy,TILES,26,-17,45,10,1,-79,L,1,1,1,1,1,1,1
235,MUST_PUNISH_WEAK,greedy:random,1981003,3,33,0,random,greedy,MEEPLES,56,-16,4,9,0,-66,L,0,0,1,1,1,1,1
235,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981003,3,33,0,random,greedy,MEEPLES,56,-16,4,9,0,-66,L,0,0,1,1,1,1,1
236,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981003,3,37,0,random,greedy,MEEPLES,54,-16,5,9,0,-66,L,1,0,1,1,1,1,1
239,MUST_PUNISH_WEAK,greedy:random,1981000,0,31,1,random,greedy,MEEPLES,57,-6,4,9,0,-71,L,1,0,1,1,1,1,1
239,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981000,0,31,1,random,greedy,MEEPLES,57,-6,4,9,0,-71,L,1,0,1,1,1,1,1
240,MUST_PUNISH_WEAK,greedy:random,1981000,0,32,0,greedy,random,TILES,56,6,23,8,1,71,W,0,1,1,1,1,1,1
238,MUST_NOT_FEED,greedy:random,1981000,0,30,1,random,greedy,TILES,57,-6,17,8,1,-71,L,1,1,1,1,1,1,1
237,MUST_NOT_FEED,greedy:random,1981003,3,138,1,greedy,random,TILES,3,47,38,14,1,66,W,1,1,1,1,1,1,0
242,MUST_PUNISH_WEAK,greedy:random,1981004,4,5,0,greedy,random,MEEPLES,70,0,4,9,0,62,W,1,0,0,0,0,0,0
