[280/898] s28000000145_p34 trunc=0/10105 2.923s
[281/898] s28000000144_p31 trunc=0/10358 3.44s
[282/898] s28000000143_p46 trunc=0/9926 5.192s
[283/898] s28000000137_p96 trunc=0/10666 9.026s
[284/898] s28000000139_p86 trunc=0/10661 8.205s
[285/898] s28000000148_p17 trunc=0/10482 2.244s
[286/898] s28000000141_p94 trunc=0/10378 7.091s
[287/898] s28000000141_p82 trunc=0/10338 7.841s
[288/898] s28000000146_p39 trunc=0/10535 5.091s
[289/898] s28000000140_p105 trunc=0/9078 8.381s
[290/898] s28000000147_p41 trunc=0/10265 4.425s
[291/898] s28000000150_p11 trunc=0/10133 1.922s
[292/898] s28000000137_p125 trunc=0/8747 11.473s
[293/898] s28000000144_p97 trunc=0/10726 7.92s
[294/898] s28000000135_p141 trunc=0/1104 14.796s
[295/898] s28000000146_p88 trunc=0/9829 6.752s
[296/898] s28000000142_p124 trunc=0/9606 9.552s
[297/898] s28000000151_p26 trunc=0/10064 3.287s
[298/898] s28000000152_p29 trunc=0/10061 3.141s
[299/898] s28000000154_p16 trunc=0/10207 2.268s
[300/898] s28000000152_p50 trunc=0/10786 4.814s
[301/898] s28000000148_p85 trunc=0/10462 7.366s
[302/898] s28000000147_p128 trunc=0/8073 9.232s
[303/898] s28000000157_p20 trunc=0/10534 2.476s
[304/898] s28000000153_p59 trunc=0/10058 5.572s
[305/898] s28000000155_p47 trunc=0/10544 5.311s
[306/898] s28000000156_p45 trunc=0/9114 4.614s
[307/898] s28000000151_p95 trunc=0/10605 8.924s
[308/898] s28000000157_p48 trunc=0/9140 3.845s
[309/898] s28000000160_p7 trunc=0/9916 1.702s
[310/898] s28000000149_p114 trunc=0/9812 10.678s
[311/898] s28000000150_p103 trunc=0/9317 10.442s
[312/898] s28000000158_p49 trunc=0/10315 4.816s
[313/898] s28000000159_p39 trunc=0/10916 4.202s
[314/898] s28000000149_p123 trunc=0/10149 11.607s
[315/898] s28000000154_p104 trunc=0/10369 8.972s
[316/898] s28000000153_p115 trunc=0/10332 9.66s
[317/898] s28000000161_p23 trunc=0/10158 2.753s
[318/898] s28000000159_p40 trunc=0/10836 4.974s
[319/898] s28000000156_p127 trunc=0/8044 8.77s
[320/898] s28000000167_p2 trunc=0/10274 1.035s
[321/898] s28000000143_p139 trunc=0/5646 19.616s
[322/898] s28000000166_p11 trunc=0/9869 1.988s
[323/898] s28000000155_p116 trunc=0/9817 11.527s
[324/898] s28000000160_p68 trunc=0/10070 6.678s
[325/898] s28000000168_p1 trunc=0/10766 1.389s
[326/898] s28000000162_p56 trunc=0/10219 6.34s
[327/898] s28000000169_p5 trunc=0/10490 1.79s
[328/898] s28000000162_p88 trunc=0/10147 6.158s
[329/898] s28000000165_p46 trunc=0/9636 5.542s
[330/898] s28000000169_p18 trunc=0/10615 2.469s
[331/898] s28000000161_p132 trunc=0/9978 8.336s
[332/898] s28000000166_p69 trunc=0/10371 5.82s
[333/898] s28000000158_p118 trunc=0/10092 11.514s
[334/898] s28000000163_p78 trunc=0/10106 8.288s
[335/898] s28000000164_p83 trunc=0/10855 7.571s
[336/898] s28000000171_p27 trunc=0/9940 3.047s
[337/898] s28000000174_p3 trunc=0/10510 1.239s
[338/898] s28000000164_p73 trunc=0/10549 8.46s
[339/898] s28000000170_p49 trunc=0/10424 4.99s
[340/898] s28000000177_p3 trunc=0/9616 1.265s
[341/898] s28000000163_p108 trunc=0/9814 10.379s
[342/898] s28000000165_p105 trunc=0/8761 9.78s
[343/898] s28000000170_p88 trunc=0/10041 5.977s
[344/898] s28000000167_p132 trunc=0/9083 8.891s
[345/898] s28000000173_p59 trunc=0/10703 5.839s
[346/898] s28000000172_p67 trunc=0/10362 6.84s
[347/898] s28000000179_p7 trunc=0/10301 1.911s
[348/898] s28000000168_p121 trunc=0/10058 10.608s
[349/898] s28000000172_p82 trunc=0/10638 8.313s
[350/898] s28000000177_p53 trunc=0/9481 4.532s
[351/898] s28000000175_p86 trunc=0/10477 7.131s
[352/898] s28000000180_p24 trunc=0/10016 2.685s
[353/898] s28000000173_p120 trunc=0/8767 8.345s
[354/898] s28000000174_p65 trunc=0/10797 7.682s
[355/898] s28000000176_p68 trunc=0/9672 7.045s
[356/898] s28000000178_p58 trunc=0/9820 5.278s
[357/898] s28000000179_p38 trunc=0/10100 4.394s
[358/898] s28000000171_p120 trunc=0/10199 10.468s
[359/898] s28000000176_p92 trunc=0/10254 7.859s
[360/898] s28000000181_p52 trunc=0/9690 4.801s
[361/898] s28000000181_p76 trunc=0/10820 4.656s
[362/898] s28000000178_p96 trunc=0/10672 8.094s
[363/898] s28000000188_p3 trunc=0/10665 1.147s
[364/898] s28000000183_p63 trunc=0/9952 4.659s
[365/898] s28000000180_p94 trunc=0/9458 7.343s
[366/898] s28000000187_p34 trunc=0/10352 3.881s
[367/898] s28000000188_p19 trunc=0/10584 2.032s
[368/898] s28000000175_p135 trunc=0/9827 13.081s
[369/898] s28000000185_p69 trunc=0/10625 5.924s
[370/898] s28000000182_p84 trunc=0/9597 6.914s
[371/898] s28000000189_p20 trunc=0/9976 2.589s
[372/898] s28000000184_p75 trunc=0/10387 7.534s
[373/898] s28000000184_p77 trunc=0/9262 8.555s
[374/898] s28000000183_p91 trunc=0/10894 8.851s
[375/898] s28000000185_p102 trunc=0/10820 8.624s
[376/898] s28000000186_p116 trunc=0/9810 9.526s
[377/898] s28000000182_p111 trunc=0/10198 10.742s
[378/898] s28000000189_p68 trunc=0/10520 6.128s
[379/898] s28000000194_p16 trunc=0/10254 2.081s
[380/898] s28000000192_p46 trunc=0/9971 4.651s
[381/898] s28000000191_p57 trunc=0/10633 6.013s
[382/898] s28000000186_p132 trunc=0/8788 10.963s
[383/898] s28000000190_p88 trunc=0/10768 7.129s
[384/898] s28000000187_p133 trunc=0/6487 9.714s
[385/898] s28000000192_p74 trunc=0/10101 7.377s
[386/898] s28000000197_p25 trunc=0/9101 3.131s
[387/898] s28000000195_p61 trunc=0/10738 5.056s
[388/898] s28000000193_p83 trunc=0/8731 7.367s
[389/898] s28000000199_p15 trunc=0/9690 2.204s
[390/898] s28000000191_p86 trunc=0/10219 9.157s
[391/898] s28000000196_p57 trunc=0/9417 5.48s
[392/898] s28000000190_p106 trunc=0/10237 10.646s
[393/898] s28000000202_p7 trunc=0/10027 1.72s
[394/898] s28000000200_p23 trunc=0/9691 2.859s
[395/898] s28000000199_p60 trunc=0/9833 4.599s
[396/898] s28000000195_p79 trunc=0/9184 7.261s
[397/898] s28000000196_p73 trunc=0/9154 6.926s
