1785382724 74.31 13.35 1
1785382729 72.83 13.48 1
1785382734 73.66 13.36 1
1785382740 75.42 12.93 1
1785382745 72.30 13.50 1
1785382750 73.96 14.18 1
1785382755 76.51 13.52 1
1785382760 73.23 13.88 1
1785382765 75.74 13.01 1
1785382771 76.07 13.49 1
1785382776 75.24 14.25 1
1785382781 75.37 14.79 1
1785382786 74.15 15.37 1
1785382791 73.81 15.26 1
1785382796 73.49 15.48 1
1785382801 73.94 15.12 1
1785382807 71.60 15.35 1
1785382812 74.02 14.60 1
1785382817 74.62 15.36 1
1785382822 71.88 15.49 1
1785382827 73.36 14.86 1
1785382832 67.98 15.11 1
1785382838 71.32 15.02 1
1785382843 75.37 15.42 1
1785382848 76.15 15.71 1
1785382853 77.26 15.81 1
1785382858 78.58 16.15 1
