case_id,dataset,position_id,k,band,source,n_legal,gap,v27_choice,ref_choice,ref_kind,v27_q,ref_q,v27_eval,ref_eval,mechanism_raw,failure_class,candidate_patch,leaf_addressable,also_iter8_miss,raw_path
mid::heur3200_s3502000027_K40,midgame,heur3200_s3502000027_K40,40,early_mid,heur@3200,38,0.0,840,1645,teacher(heur@3200),-0.2648,-0.26262,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000006_K40,midgame,hybrid_8_3200_s3503000006_K40,40,early_mid,hybrid:8:3200,16,0.0,848,1039,teacher(heur@3200),0.99272,0.99316,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::iter8_s3501000025_K40,midgame,iter8_s3501000025_K40,40,early_mid,iter8,23,0.0,1064,1361,teacher(heur@3200),-0.17515,-0.17511,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::iter8_s3501000033_K40,midgame,iter8_s3501000033_K40,40,early_mid,iter8,28,0.0,745,1360,teacher(heur@3200),-0.94488,-0.94272,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000000_K28,midgame,greedy_s3500000000_K28,28,mid,greedy,46,0.0,844,938,teacher(heur@3200),-0.14697,-0.14697,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000028_K28,midgame,greedy_s3500000028_K28,28,mid,greedy,44,0.0,848,949,teacher(heur@3200),0.05976,0.06136,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000006_K28,midgame,heur3200_s3502000006_K28,28,mid,heur@3200,30,0.0,936,939,teacher(heur@3200),-0.88604,-0.886,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000011_K28,midgame,heur3200_s3502000011_K28,28,mid,heur@3200,31,0.0,752,1461,teacher(heur@3200),0.32527,0.32687,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000024_K28,midgame,heur3200_s3502000024_K28,28,mid,heur@3200,37,0.0,844,845,teacher(heur@3200),0.93144,0.93145,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000026_K28,midgame,heur3200_s3502000026_K28,28,mid,heur@3200,60,0.0,644,1560,teacher(heur@3200),-0.18597,-0.1828,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000028_K28,midgame,heur3200_s3502000028_K28,28,mid,heur@3200,39,0.0,737,965,teacher(heur@3200),-0.38653,-0.3833,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000041_K28,midgame,heur3200_s3502000041_K28,28,mid,heur@3200,42,0.0,644,865,teacher(heur@3200),0.959,0.959,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000007_K28,midgame,hybrid_8_3200_s3503000007_K28,28,mid,hybrid:8:3200,46,0.0,744,970,teacher(heur@3200),0.27348,0.2764,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000013_K28,midgame,hybrid_8_3200_s3503000013_K28,28,mid,hybrid:8:3200,44,0.0,849,857,teacher(heur@3200),-0.88611,-0.8861,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000016_K28,midgame,hybrid_8_3200_s3503000016_K28,28,mid,hybrid:8:3200,39,0.0,641,1037,teacher(heur@3200),-0.26052,-0.26052,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000034_K28,midgame,hybrid_8_3200_s3503000034_K28,28,mid,hybrid:8:3200,31,0.0,829,830,teacher(heur@3200),0.73299,0.73355,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::hybrid_8_3200_s3503000040_K28,midgame,hybrid_8_3200_s3503000040_K28,28,mid,hybrid:8:3200,35,0.0,1032,1033,teacher(heur@3200),0.1414,0.14141,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000005_K16,midgame,greedy_s3500000005_K16,16,late_mid,greedy,46,0.0,748,1225,teacher(heur@3200),-0.47968,-0.47931,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000008_K16,midgame,greedy_s3500000008_K16,16,late_mid,greedy,45,0.0,1316,1448,teacher(heur@3200),0.83625,0.83755,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::greedy_s3500000017_K16,midgame,greedy_s3500000017_K16,16,late_mid,greedy,40,0.0,732,852,teacher(heur@3200),-0.97695,-0.97693,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000034_K16,midgame,greedy_s3500000034_K16,16,late_mid,greedy,32,0.0,1656,1659,teacher(heur@3200),0.99776,0.99776,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::greedy_s3500000036_K16,midgame,greedy_s3500000036_K16,16,late_mid,greedy,96,0.0,640,948,teacher(heur@3200),-0.7319,-0.73166,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000046_K16,midgame,greedy_s3500000046_K16,16,late_mid,greedy,60,0.0,1431,1637,teacher(heur@3200),0.35244,0.3533,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000005_K16,midgame,heur3200_s3502000005_K16,16,late_mid,heur@3200,33,0.0,1645,1663,teacher(heur@3200),0.89817,0.8982,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000011_K16,midgame,heur3200_s3502000011_K16,16,late_mid,heur@3200,35,0.0,752,1276,teacher(heur@3200),0.28048,0.31989,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,False,
mid::heur3200_s3502000012_K16,midgame,heur3200_s3502000012_K16,16,late_mid,heur@3200,54,0.0,845,846,teacher(heur@3200),-0.37411,-0.37401,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000026_K16,midgame,heur3200_s3502000026_K16,16,late_mid,heur@3200,53,0.0,552,553,teacher(heur@3200),0.06657,0.06657,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000033_K16,midgame,heur3200_s3502000033_K16,16,late_mid,heur@3200,39,0.0,841,941,teacher(heur@3200),0.02728,0.03192,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000049_K16,midgame,heur3200_s3502000049_K16,16,late_mid,heur@3200,27,0.0,841,860,teacher(heur@3200),-0.97977,-0.97977,,,meeple-economy,meeple-economy,meeple_economy_v1,yes,True,
mid::hybrid_8_3200_s3503000000_K16,midgame,hybrid_8_3200_s3503000000_K16,16,late_mid,hybrid:8:3200,56,0.0,656,1360,teacher(heur@3200),-0.32766,-0.32554,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000002_K16,midgame,hybrid_8_3200_s3503000002_K16,16,late_mid,hybrid:8:3200,53,0.0,736,1221,teacher(heur@3200),-0.63137,-0.62702,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::hybrid_8_3200_s3503000007_K16,midgame,hybrid_8_3200_s3503000007_K16,16,late_mid,hybrid:8:3200,57,0.0,838,844,teacher(heur@3200),0.81799,0.82118,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::hybrid_8_3200_s3503000013_K16,midgame,hybrid_8_3200_s3503000013_K16,16,late_mid,hybrid:8:3200,60,0.0,1041,740,teacher(heur@3200),-0.75838,-0.72551,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000027_K16,midgame,hybrid_8_3200_s3503000027_K16,16,late_mid,hybrid:8:3200,34,0.0,835,1047,teacher(heur@3200),-0.99986,-0.99986,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000043_K16,midgame,hybrid_8_3200_s3503000043_K16,16,late_mid,hybrid:8:3200,24,0.0,852,1632,teacher(heur@3200),0.98804,0.98813,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::hybrid_8_3200_s3503000049_K16,midgame,hybrid_8_3200_s3503000049_K16,16,late_mid,hybrid:8:3200,31,0.0,956,959,teacher(heur@3200),0.32151,0.32151,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::iter8_s3501000005_K16,midgame,iter8_s3501000005_K16,16,late_mid,iter8,32,0.0,1033,1840,teacher(heur@3200),0.93781,0.93883,,,completion/score-greed,completion-timing,completion_timing_v1,partial,False,
mid::iter8_s3501000018_K16,midgame,iter8_s3501000018_K16,16,late_mid,iter8,45,0.0,750,960,teacher(heur@3200),-0.96454,-0.96441,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::iter8_s3501000029_K16,midgame,iter8_s3501000029_K16,16,late_mid,iter8,48,0.0,645,1441,teacher(heur@3200),-0.85011,-0.84955,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::iter8_s3501000038_K16,midgame,iter8_s3501000038_K16,16,late_mid,iter8,52,0.0,653,1332,teacher(heur@3200),-0.72727,-0.72469,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000020_K10,midgame,greedy_s3500000020_K10,10,pre_endgame,greedy,45,0.0,1731,1834,teacher(heur@3200),-0.43808,-0.43808,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000034_K10,midgame,greedy_s3500000034_K10,10,pre_endgame,greedy,42,0.0,748,968,teacher(heur@3200),0.99752,0.99756,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000046_K10,midgame,greedy_s3500000046_K10,10,pre_endgame,greedy,30,0.0,1324,1564,teacher(heur@3200),0.19139,0.19301,,,immediate-score,immediate-scoring,(mostly v2.7-covered),weak,True,
mid::greedy_s3500000049_K10,midgame,greedy_s3500000049_K10,10,pre_endgame,greedy,38,0.0,648,1842,teacher(heur@3200),0.99448,0.99472,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::heur3200_s3502000000_K10,midgame,heur3200_s3502000000_K10,10,pre_endgame,heur@3200,52,0.0,732,1041,teacher(heur@3200),-0.76159,-0.76159,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000026_K10,midgame,heur3200_s3502000026_K10,10,pre_endgame,heur@3200,32,0.0,637,1038,teacher(heur@3200),0.075,0.07921,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
