[agree] carcassonne_ai.fair_agent -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/fair_agent.py
[agree] carcassonne_ai.mcts       -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/mcts.py
         s28000000059_p51_r1 36.956s agreeQ_all=True [191/2694 2096/h]
         s28000000061_p36_r1 26.943s agreeQ_all=False [192/2694 2096/h]
         s28000000061_p36_r3 24.92s agreeQ_all=False [193/2694 2103/h]
        s28000000057_p135_r1 58.781s agreeQ_all=True [194/2694 2109/h]
        s28000000060_p100_r3 34.114s agreeQ_all=False [195/2694 2110/h]
         s28000000061_p77_r3 24.889s agreeQ_all=False [196/2694 2113/h]
        s28000000060_p100_r2 42.958s agreeQ_all=False [197/2694 2080/h]
         s28000000062_p89_r2 34.219s agreeQ_all=False [198/2694 2060/h]
         s28000000062_p89_r1 36.096s agreeQ_all=False [199/2694 2068/h]
        s28000000064_p104_r3 20.514s agreeQ_all=True [200/2694 2069/h]
         s28000000062_p96_r1 37.797s agreeQ_all=True [201/2694 2064/h]
         s28000000062_p89_r3 41.393s agreeQ_all=False [202/2694 2059/h]
         s28000000062_p96_r2 41.174s agreeQ_all=False [203/2694 2063/h]
        s28000000064_p104_r1 32.828s agreeQ_all=True [204/2694 2061/h]
         s28000000067_p22_r3 22.428s agreeQ_all=True [205/2694 1992/h]
         s28000000067_p22_r1 24.504s agreeQ_all=True [206/2694 1999/h]
         s28000000066_p85_r2 40.671s agreeQ_all=True [207/2694 1952/h]
        s28000000064_p136_r1 55.782s agreeQ_all=True [208/2694 1951/h]
        s28000000065_p133_r1 56.248s agreeQ_all=False [209/2694 1946/h]
        s28000000066_p121_r3 41.478s agreeQ_all=True [210/2694 1951/h]
        s28000000065_p133_r3 54.875s agreeQ_all=False [211/2694 1959/h]
        s28000000067_p132_r2 38.757s agreeQ_all=True [212/2694 1960/h]
        s28000000065_p133_r2 59.066s agreeQ_all=False [213/2694 1965/h]
         s28000000068_p83_r3 35.488s agreeQ_all=True [214/2694 1966/h]
         s28000000069_p11_r1 22.461s agreeQ_all=True [215/2694 1969/h]
         s28000000068_p83_r1 39.399s agreeQ_all=True [216/2694 1975/h]
         s28000000069_p11_r2 23.934s agreeQ_all=True [217/2694 1978/h]
        s28000000064_p136_r3 76.064s agreeQ_all=False [218/2694 1934/h]
         s28000000071_p10_r1 19.408s agreeQ_all=False [219/2694 1936/h]
         s28000000071_p10_r3 20.748s agreeQ_all=False [220/2694 1931/h]
         s28000000070_p30_r2 29.705s agreeQ_all=True [221/2694 1923/h]
          s28000000072_p4_r1 22.219s agreeQ_all=True [222/2694 1925/h]
         s28000000071_p11_r1 25.554s agreeQ_all=True [223/2694 1931/h]
          s28000000072_p4_r3 23.184s agreeQ_all=True [224/2694 1935/h]
         s28000000070_p30_r1 35.464s agreeQ_all=True [225/2694 1941/h]
         s28000000071_p11_r3 31.873s agreeQ_all=True [226/2694 1920/h]
