[454/898] s28000000223_p102 trunc=0/8671 9.577s
[455/898] s28000000227_p55 trunc=0/10433 6.7s
[456/898] s28000000227_p68 trunc=0/9988 6.901s
[457/898] s28000000229_p71 trunc=0/10337 6.992s
[458/898] s28000000236_p17 trunc=0/10457 2.734s
[459/898] s28000000221_p115 trunc=0/9214 13.677s
[460/898] s28000000224_p99 trunc=0/10766 10.844s
[461/898] s28000000225_p82 trunc=0/10344 9.563s
[462/898] s28000000212_p133 trunc=0/10099 19.42s
[463/898] s28000000237_p22 trunc=0/9982 3.749s
[464/898] s28000000229_p92 trunc=0/10059 8.498s
[465/898] s28000000234_p66 trunc=0/10557 8.41s
[466/898] s28000000239_p14 trunc=0/10356 2.776s
[467/898] s28000000241_p13 trunc=0/9619 2.599s
[468/898] s28000000221_p121 trunc=0/9937 17.499s
[469/898] s28000000225_p116 trunc=0/9613 12.816s
[470/898] s28000000233_p103 trunc=0/10064 11.463s
[471/898] s28000000239_p51 trunc=0/9798 5.599s
[472/898] s28000000235_p80 trunc=0/9967 8.886s
[473/898] s28000000232_p122 trunc=0/10624 11.959s
[474/898] s28000000236_p117 trunc=0/8680 8.093s
[475/898] s28000000235_p79 trunc=0/10394 9.823s
[476/898] s28000000231_p111 trunc=0/10089 12.862s
[477/898] s28000000244_p21 trunc=0/10580 3.462s
[478/898] s28000000240_p53 trunc=0/10242 6.318s
[479/898] s28000000249_p142 trunc=None/None 0.0004467964172363281s
[480/898] s28000000238_p71 trunc=0/10448 8.283s
[481/898] s28000000240_p59 trunc=0/10623 7.274s
[482/898] s28000000231_p119 trunc=0/9719 14.237s
[483/898] s28000000234_p124 trunc=0/11008 13.763s
[484/898] s28000000237_p85 trunc=0/9139 9.966s
[485/898] s28000000245_p27 trunc=0/9943 3.729s
[486/898] s28000000243_p43 trunc=0/10489 5.83s
[487/898] s28000000238_p76 trunc=0/10509 9.229s
[488/898] s28000000252_p1 trunc=0/10162 1.463s
[489/898] s28000000245_p28 trunc=0/10556 4.11s
[490/898] s28000000241_p87 trunc=0/10226 9.009s
[491/898] s28000000253_p9 trunc=0/10497 2.232s
[492/898] s28000000250_p23 trunc=0/9808 3.965s
[493/898] s28000000253_p25 trunc=0/10722 3.46s
[494/898] s28000000247_p50 trunc=0/10386 6.237s
[495/898] s28000000244_p70 trunc=0/11008 7.689s
[496/898] s28000000251_p38 trunc=0/7794 4.35s
[497/898] s28000000248_p66 trunc=0/9524 6.158s
[498/898] s28000000254_p27 trunc=0/9601 4.135s
[499/898] s28000000242_p133 trunc=0/9699 11.41s
