=== scheduler dispatch window_truncation_census W=22 2026-08-13T11:21:44-04:00 ===
[2026-08-13T11:21:44-04:00] window-truncation census: box=laptop job=window_truncation_census W=22 smoke=0 share=/mnt/c/carc-shared
[2026-08-13T11:21:44-04:00] FATAL: CL-070 root bank missing at /mnt/c/carc-shared/classical_search/move_agreement_k4_b28e9/roots.jsonl
=== scheduler dispatch window_truncation_census EXIT rc=13 2026-08-13T11:21:44-04:00 ===
=== scheduler dispatch window_truncation_census W=22 2026-08-13T11:46:12-04:00 ===
[2026-08-13T11:46:12-04:00]   share candidate /mnt/c/carc-shared: REJECTED (exists, but no sentinel classical_search/move_agreement_k4_b28e9/roots.jsonl — 1 entries; wrong mount for this box)
[2026-08-13T11:46:12-04:00]   share candidate /mnt/carc-shared: ACCEPTED (sentinel present)
[2026-08-13T11:46:12-04:00] window-truncation census: box=laptop job=window_truncation_census W=22 smoke=0 share=/mnt/carc-shared
[2026-08-13T11:46:12-04:00] preflight ok — git 8fe245422, leg-A bank 898 roots, 26 e4 archives
[2026-08-13T11:46:12-04:00] leg walled: starting (W=22, R9=0, out=measurement/window_truncation_20260813/census_walled, log=measurement/window_truncation_20260813/logs/census_walled.log)
[235/898] s28000000123_p33 trunc=0/9980 4.816s
[236/898] s28000000120_p55 trunc=0/10527 5.687s
[237/898] s28000000124_p37 trunc=0/9168 4.528s
[238/898] s28000000119_p54 trunc=0/10069 7.3s
[239/898] s28000000109_p133 trunc=0/8117 15.372s
[240/898] s28000000116_p106 trunc=0/10182 9.833s
[241/898] s28000000126_p30 trunc=0/9993 3.888s
[242/898] s28000000129_p8 trunc=0/10181 2.165s
[243/898] s28000000130_p7 trunc=0/10406 2.142s
[244/898] s28000000127_p47 trunc=0/9812 4.979s
[245/898] s28000000124_p72 trunc=0/9122 7.451s
[246/898] s28000000118_p100 trunc=0/8703 11.321s
[247/898] s28000000130_p20 trunc=0/10647 3.589s
[248/898] s28000000123_p114 trunc=0/9799 9.78s
[249/898] s28000000121_p112 trunc=0/10057 10.662s
[250/898] s28000000125_p94 trunc=0/9767 8.904s
[251/898] s28000000120_p111 trunc=0/9606 11.635s
[252/898] s28000000117_p124 trunc=0/9802 14.559s
[253/898] s28000000122_p103 trunc=0/9620 11.581s
[254/898] s28000000133_p12 trunc=0/10399 2.577s
[255/898] s28000000119_p126 trunc=0/10461 12.483s
[256/898] s28000000125_p96 trunc=0/9802 9.062s
[257/898] s28000000121_p141 trunc=0/552 12.812s
[258/898] s28000000131_p43 trunc=0/10786 5.827s
[259/898] s28000000128_p78 trunc=0/9348 7.791s
[260/898] s28000000117_p130 trunc=0/9596 16.799s
[261/898] s28000000128_p72 trunc=0/9798 8.937s
[262/898] s28000000132_p47 trunc=0/10460 5.845s
[263/898] s28000000131_p52 trunc=0/10182 6.697s
[264/898] s28000000136_p21 trunc=0/9482 3.307s
[265/898] s28000000138_p16 trunc=0/10201 2.955s
[266/898] s28000000136_p24 trunc=0/9864 3.441s
[267/898] s28000000134_p49 trunc=0/9987 5.029s
[268/898] s28000000138_p24 trunc=0/10968 3.345s
[269/898] s28000000140_p10 trunc=0/9899 2.177s
[270/898] s28000000126_p104 trunc=0/9579 12.025s
[271/898] s28000000129_p115 trunc=0/9725 10.594s
[272/898] s28000000133_p74 trunc=0/9424 7.095s
[273/898] s28000000142_p16 trunc=0/9830 2.686s
[274/898] s28000000145_p10 trunc=0/9734 2.018s
[275/898] s28000000127_p119 trunc=0/9063 12.759s
[276/898] s28000000135_p76 trunc=0/9948 7.463s
[277/898] s28000000132_p105 trunc=0/9996 9.359s
[278/898] s28000000139_p51 trunc=0/9014 6.195s
[279/898] s28000000134_p67 trunc=0/10500 8.645s
[280/898] s28000000144_p31 trunc=0/10358 4.335s
[281/898] s28000000145_p34 trunc=0/10105 4.134s
[282/898] s28000000148_p17 trunc=0/10482 2.815s
[283/898] s28000000143_p46 trunc=0/9926 6.458s
[284/898] s28000000150_p11 trunc=0/10133 2.346s
[285/898] s28000000147_p41 trunc=0/10265 5.104s
[286/898] s28000000137_p96 trunc=0/10666 10.672s
[287/898] s28000000146_p39 trunc=0/10535 5.826s
[288/898] s28000000141_p82 trunc=0/10338 8.704s
[289/898] s28000000141_p94 trunc=0/10378 8.844s
[290/898] s28000000139_p86 trunc=0/10661 10.565s
[291/898] s28000000144_p97 trunc=0/10726 8.776s
[292/898] s28000000151_p26 trunc=0/10064 4.048s
[293/898] s28000000140_p105 trunc=0/9078 10.379s
[294/898] s28000000154_p16 trunc=0/10207 2.556s
[295/898] s28000000152_p29 trunc=0/10061 3.961s
[296/898] s28000000137_p125 trunc=0/8747 13.657s
[297/898] s28000000146_p88 trunc=0/9829 9.303s
[298/898] s28000000142_p124 trunc=0/9606 11.622s
[299/898] s28000000148_p85 trunc=0/10462 9.18s
[300/898] s28000000152_p50 trunc=0/10786 5.737s
[301/898] s28000000157_p20 trunc=0/10534 3.303s
[302/898] s28000000135_p141 trunc=0/1104 17.427s
[303/898] s28000000153_p59 trunc=0/10058 6.657s
[304/898] s28000000147_p128 trunc=0/8073 11.904s
[305/898] s28000000160_p7 trunc=0/9916 2.045s
[306/898] s28000000156_p45 trunc=0/9114 5.25s
[307/898] s28000000155_p47 trunc=0/10544 6.666s
[308/898] s28000000157_p48 trunc=0/9140 4.911s
[309/898] s28000000158_p49 trunc=0/10315 5.484s
[310/898] s28000000151_p95 trunc=0/10605 10.52s
[311/898] s28000000150_p103 trunc=0/9317 11.537s
[312/898] s28000000161_p23 trunc=0/10158 3.687s
[313/898] s28000000159_p39 trunc=0/10916 5.195s
[314/898] s28000000159_p40 trunc=0/10836 5.533s
[315/898] s28000000149_p114 trunc=0/9812 14.162s
[316/898] s28000000167_p2 trunc=0/10274 1.399s
[317/898] s28000000154_p104 trunc=0/10369 10.548s
[318/898] s28000000166_p11 trunc=0/9869 2.542s
[319/898] s28000000149_p123 trunc=0/10149 14.853s
[320/898] s28000000168_p1 trunc=0/10766 1.481s
[321/898] s28000000156_p127 trunc=0/8044 10.426s
[322/898] s28000000153_p115 trunc=0/10332 12.218s
[323/898] s28000000160_p68 trunc=0/10070 7.564s
[324/898] s28000000169_p5 trunc=0/10490 1.901s
[325/898] s28000000162_p56 trunc=0/10219 6.666s
[326/898] s28000000165_p46 trunc=0/9636 5.644s
[327/898] s28000000169_p18 trunc=0/10615 3.044s
[328/898] s28000000162_p88 trunc=0/10147 7.921s
[329/898] s28000000174_p3 trunc=0/10510 1.599s
[330/898] s28000000155_p116 trunc=0/9817 14.81s
[331/898] s28000000171_p27 trunc=0/9940 3.808s
[332/898] s28000000166_p69 trunc=0/10371 7.151s
[333/898] s28000000164_p73 trunc=0/10549 8.949s
[334/898] s28000000164_p83 trunc=0/10855 8.724s
[335/898] s28000000158_p118 trunc=0/10092 13.365s
[336/898] s28000000161_p132 trunc=0/9978 10.654s
[337/898] s28000000143_p139 trunc=0/5646 24.258s
[338/898] s28000000170_p49 trunc=0/10424 5.785s
[339/898] s28000000177_p3 trunc=0/9616 1.531s
[340/898] s28000000163_p78 trunc=0/10106 11.11s
[341/898] s28000000179_p7 trunc=0/10301 2.119s
[342/898] s28000000173_p59 trunc=0/10703 6.734s
[343/898] s28000000167_p132 trunc=0/9083 10.347s
[344/898] s28000000170_p88 trunc=0/10041 8.263s
[345/898] s28000000163_p108 trunc=0/9814 13.092s
[346/898] s28000000165_p105 trunc=0/8761 11.664s
[347/898] s28000000172_p67 trunc=0/10362 8.204s
[348/898] s28000000180_p24 trunc=0/10016 3.509s
[349/898] s28000000177_p53 trunc=0/9481 5.468s
[350/898] s28000000179_p38 trunc=0/10100 5.027s
[351/898] s28000000178_p58 trunc=0/9820 6.187s
[352/898] s28000000172_p82 trunc=0/10638 9.945s
[353/898] s28000000174_p65 trunc=0/10797 8.612s
[354/898] s28000000173_p120 trunc=0/8767 9.98s
[355/898] s28000000176_p68 trunc=0/9672 8.226s
[356/898] s28000000168_p121 trunc=0/10058 14.108s
[357/898] s28000000181_p52 trunc=0/9690 5.741s
[358/898] s28000000175_p86 trunc=0/10477 9.823s
[359/898] s28000000181_p76 trunc=0/10820 5.953s
[360/898] s28000000183_p63 trunc=0/9952 5.872s
[361/898] s28000000188_p3 trunc=0/10665 1.6s
[362/898] s28000000176_p92 trunc=0/10254 9.715s
[363/898] s28000000171_p120 trunc=0/10199 13.878s
[364/898] s28000000180_p94 trunc=0/9458 8.226s
[365/898] s28000000178_p96 trunc=0/10672 10.118s
[366/898] s28000000188_p19 trunc=0/10584 2.851s
[367/898] s28000000189_p20 trunc=0/9976 3.258s
[368/898] s28000000182_p84 trunc=0/9597 8.368s
[369/898] s28000000187_p34 trunc=0/10352 4.86s
[370/898] s28000000185_p69 trunc=0/10625 7.419s
[371/898] s28000000184_p75 trunc=0/10387 9.54s
[372/898] s28000000194_p16 trunc=0/10254 2.721s
[373/898] s28000000183_p91 trunc=0/10894 10.952s
[374/898] s28000000184_p77 trunc=0/9262 9.853s
[375/898] s28000000182_p111 trunc=0/10198 12.061s
[376/898] s28000000192_p46 trunc=0/9971 5.983s
[377/898] s28000000189_p68 trunc=0/10520 6.786s
[378/898] s28000000175_p135 trunc=0/9827 16.577s
[379/898] s28000000185_p102 trunc=0/10820 10.289s
[380/898] s28000000186_p116 trunc=0/9810 10.333s
[381/898] s28000000191_p57 trunc=0/10633 7.475s
[382/898] s28000000190_p88 trunc=0/10768 8.734s
[383/898] s28000000195_p61 trunc=0/10738 6.691s
[384/898] s28000000197_p25 trunc=0/9101 3.871s
[385/898] s28000000187_p133 trunc=0/6487 11.313s
[386/898] s28000000199_p15 trunc=0/9690 2.837s
[387/898] s28000000193_p83 trunc=0/8731 8.924s
[388/898] s28000000192_p74 trunc=0/10101 9.667s
[389/898] s28000000186_p132 trunc=0/8788 13.234s
[390/898] s28000000200_p23 trunc=0/9691 3.642s
[391/898] s28000000202_p7 trunc=0/10027 1.866s
